Hits,Accuracy
350212.0,87.553
349998.0,87.4995
350120.0,87.53
350114.0,87.5285
349873.0,87.4682
349917.0,87.4792
350435.0,87.6088
349832.0,87.458
349956.0,87.489
350043.0,87.5108
350159.0,87.5398
350028.0,87.507
350390.0,87.5975
350062.0,87.5155
349983.0,87.4958
349951.0,87.4877
350215.0,87.5537
350113.0,87.5282
350729.0,87.6822
350713.0,87.6782
350239.0,87.5598
350289.0,87.5722
350206.0,87.5515
350101.0,87.5252
350100.0,87.525
350155.0,87.5387
350183.0,87.5458
350186.0,87.5465
350292.0,87.573
350483.0,87.6208
350073.0,87.5182
350177.0,87.5442
350406.0,87.6015
350180.0,87.545
350169.0,87.5422
350261.0,87.5652
350054.0,87.5135
350319.0,87.5798
350129.0,87.5322
349967.0,87.4918
350434.0,87.6085
350094.0,87.5235
350308.0,87.577
350276.0,87.569
349863.0,87.4658
350427.0,87.6068
349915.0,87.4788
350537.0,87.6343
349904.0,87.476
350252.0,87.563
350461.0,87.6152
350379.0,87.5948
350051.0,87.5128
350349.0,87.5873
349695.0,87.4238
350270.0,87.5675
350092.0,87.523
349984.0,87.496
349972.0,87.493
350290.0,87.5725
350097.0,87.5243
350332.0,87.583
350258.0,87.5645
350608.0,87.652
350438.0,87.6095
350408.0,87.602
350280.0,87.57
350376.0,87.594
350165.0,87.5412
350071.0,87.5178
350071.0,87.5178
350255.0,87.5638
350195.0,87.5488
350084.0,87.521
350412.0,87.603
350234.0,87.5585
350528.0,87.632
349823.0,87.4558
350287.0,87.5718
350140.0,87.535
350101.0,87.5252
350254.0,87.5635
350180.0,87.545
349811.0,87.4528
350429.0,87.6073
350444.0,87.611
350155.0,87.5387
350380.0,87.595
350217.0,87.5542
349502.0,87.3755
350344.0,87.586
350292.0,87.573
350302.0,87.5755
350048.0,87.512
350274.0,87.5685
349956.0,87.489
350398.0,87.5995
350090.0,87.5225
350482.0,87.6205
350246.0,87.5615
