Hits,Accuracy
391640.0,97.91
392159.0,98.0398
391951.0,97.9877
392086.0,98.0215
392038.0,98.0095
391796.0,97.949
391969.0,97.9922
391801.0,97.9503
391914.0,97.9785
392016.0,98.004
391803.0,97.9508
391788.0,97.947
391935.0,97.9838
391968.0,97.992
391983.0,97.9958
392003.0,98.0008
391969.0,97.9922
391952.0,97.988
391982.0,97.9955
391760.0,97.94
391978.0,97.9945
391903.0,97.9757
392132.0,98.033
391804.0,97.951
391807.0,97.9518
391999.0,97.9997
391931.0,97.9828
391960.0,97.99
391988.0,97.997
391807.0,97.9518
391994.0,97.9985
392032.0,98.008
392002.0,98.0005
392043.0,98.0108
391739.0,97.9348
392003.0,98.0008
391867.0,97.9668
391760.0,97.94
392019.0,98.0048
391974.0,97.9935
391702.0,97.9255
391966.0,97.9915
391909.0,97.9772
391931.0,97.9828
391882.0,97.9705
391856.0,97.964
391936.0,97.984
392129.0,98.0322
391855.0,97.9638
391792.0,97.948
391913.0,97.9782
391997.0,97.9992
392088.0,98.022
392059.0,98.0147
391766.0,97.9415
391885.0,97.9712
391850.0,97.9625
391839.0,97.9598
392056.0,98.014
391894.0,97.9735
392202.0,98.0505
392099.0,98.0248
391987.0,97.9968
391799.0,97.9498
391790.0,97.9475
391983.0,97.9958
392033.0,98.0082
391914.0,97.9785
392072.0,98.018
391748.0,97.937
391915.0,97.9788
391989.0,97.9973
391697.0,97.9242
392038.0,98.0095
391956.0,97.989
392044.0,98.011
391935.0,97.9838
392006.0,98.0015
392018.0,98.0045
392110.0,98.0275
391646.0,97.9115
391741.0,97.9352
391998.0,97.9995
392057.0,98.0142
391926.0,97.9815
391773.0,97.9433
392033.0,98.0082
392080.0,98.02
391808.0,97.952
392035.0,98.0088
391801.0,97.9503
391905.0,97.9762
391960.0,97.99
391980.0,97.995
391824.0,97.956
392010.0,98.0025
391999.0,97.9997
391923.0,97.9808
392180.0,98.045
391891.0,97.9727
