Hits,Accuracy
350934.0,87.7335
350863.0,87.7158
350726.0,87.6815
350503.0,87.6258
350406.0,87.6015
350743.0,87.6858
350656.0,87.664
350670.0,87.6675
350761.0,87.6903
350743.0,87.6858
350992.0,87.748
350685.0,87.6712
350638.0,87.6595
350521.0,87.6302
350514.0,87.6285
350650.0,87.6625
350962.0,87.7405
350556.0,87.639
350655.0,87.6637
350551.0,87.6378
350640.0,87.66
350714.0,87.6785
350624.0,87.656
350582.0,87.6455
350512.0,87.628
350642.0,87.6605
350583.0,87.6458
350623.0,87.6558
350804.0,87.701
350704.0,87.676
350652.0,87.663
350486.0,87.6215
350922.0,87.7305
350700.0,87.675
350864.0,87.716
350725.0,87.6812
350634.0,87.6585
350727.0,87.6818
350756.0,87.689
350304.0,87.576
350525.0,87.6313
350543.0,87.6358
350664.0,87.666
350922.0,87.7305
350801.0,87.7002
350624.0,87.656
350826.0,87.7065
350381.0,87.5953
350698.0,87.6745
350755.0,87.6888
350725.0,87.6812
350409.0,87.6022
350792.0,87.698
350836.0,87.709
350699.0,87.6748
350564.0,87.641
350512.0,87.628
350747.0,87.6868
350714.0,87.6785
350641.0,87.6602
350567.0,87.6418
350599.0,87.6498
350854.0,87.7135
350929.0,87.7322
350751.0,87.6877
350761.0,87.6903
350632.0,87.658
350504.0,87.626
350495.0,87.6238
350538.0,87.6345
350657.0,87.6642
350681.0,87.6703
350696.0,87.674
350630.0,87.6575
350564.0,87.641
350524.0,87.631
350789.0,87.6973
350513.0,87.6282
350725.0,87.6812
350515.0,87.6288
350882.0,87.7205
350778.0,87.6945
350689.0,87.6722
350445.0,87.6112
350537.0,87.6343
350534.0,87.6335
350722.0,87.6805
350779.0,87.6948
350715.0,87.6788
350835.0,87.7088
350562.0,87.6405
350734.0,87.6835
350375.0,87.5938
350779.0,87.6948
350614.0,87.6535
350470.0,87.6175
350408.0,87.602
350589.0,87.6472
350752.0,87.688
350668.0,87.667
