Hits,Accuracy
386455.0,96.6138
385843.0,96.4607
386324.0,96.581
386142.0,96.5355
386453.0,96.6132
386103.0,96.5258
385812.0,96.453
386428.0,96.607
386076.0,96.519
386075.0,96.5188
386117.0,96.5292
386337.0,96.5843
385798.0,96.4495
385888.0,96.472
386278.0,96.5695
386190.0,96.5475
386298.0,96.5745
386244.0,96.561
386136.0,96.534
385735.0,96.4337
386190.0,96.5475
385913.0,96.4782
386182.0,96.5455
386110.0,96.5275
386452.0,96.613
386060.0,96.515
385921.0,96.4802
386094.0,96.5235
385891.0,96.4727
386014.0,96.5035
386102.0,96.5255
386204.0,96.551
385856.0,96.464
386273.0,96.5683
385691.0,96.4228
386198.0,96.5495
386309.0,96.5773
385605.0,96.4012
386339.0,96.5848
386028.0,96.507
386078.0,96.5195
386055.0,96.5138
385905.0,96.4762
386139.0,96.5348
386220.0,96.555
385976.0,96.494
386009.0,96.5022
386043.0,96.5108
385844.0,96.461
386048.0,96.512
386103.0,96.5258
386404.0,96.601
386173.0,96.5432
386211.0,96.5528
386206.0,96.5515
386489.0,96.6222
385844.0,96.461
385890.0,96.4725
386116.0,96.529
386048.0,96.512
386481.0,96.6202
385855.0,96.4638
386326.0,96.5815
386386.0,96.5965
385885.0,96.4712
386155.0,96.5387
386141.0,96.5352
385498.0,96.3745
386168.0,96.542
386205.0,96.5512
385991.0,96.4978
385749.0,96.4372
386041.0,96.5102
386641.0,96.6602
386251.0,96.5627
386056.0,96.514
385881.0,96.4703
385912.0,96.478
386262.0,96.5655
386278.0,96.5695
386407.0,96.6018
386225.0,96.5562
386212.0,96.553
386133.0,96.5333
385939.0,96.4847
385966.0,96.4915
385817.0,96.4542
385925.0,96.4812
385729.0,96.4322
386248.0,96.562
386380.0,96.595
386301.0,96.5752
385934.0,96.4835
386352.0,96.588
386353.0,96.5882
386318.0,96.5795
386307.0,96.5768
385893.0,96.4732
385739.0,96.4348
386342.0,96.5855
