Hits,Accuracy
288273.0,96.091
288185.0,96.0617
288339.0,96.113
288178.0,96.0593
288223.0,96.0743
288249.0,96.083
288213.0,96.071
288270.0,96.09
288272.0,96.0907
288275.0,96.0917
288278.0,96.0927
288280.0,96.0933
288244.0,96.0813
288264.0,96.088
288317.0,96.1057
288229.0,96.0763
288270.0,96.09
288276.0,96.092
288289.0,96.0963
288234.0,96.078
288150.0,96.05
288272.0,96.0907
288247.0,96.0823
288261.0,96.087
288242.0,96.0807
288273.0,96.091
288250.0,96.0833
288266.0,96.0887
288280.0,96.0933
288255.0,96.085
288355.0,96.1183
288240.0,96.08
288306.0,96.102
288213.0,96.071
288267.0,96.089
288265.0,96.0883
288209.0,96.0697
288296.0,96.0987
288333.0,96.111
288128.0,96.0427
288301.0,96.1003
288260.0,96.0867
288264.0,96.088
288210.0,96.07
288212.0,96.0707
288264.0,96.088
288356.0,96.1187
288183.0,96.061
288285.0,96.095
288193.0,96.0643
288151.0,96.0503
288231.0,96.077
288262.0,96.0873
288165.0,96.055
288260.0,96.0867
288287.0,96.0957
288242.0,96.0807
288252.0,96.084
288308.0,96.1027
288263.0,96.0877
288283.0,96.0943
288252.0,96.084
288261.0,96.087
288229.0,96.0763
288225.0,96.075
288298.0,96.0993
288236.0,96.0787
288291.0,96.097
288257.0,96.0857
288344.0,96.1147
288213.0,96.071
288221.0,96.0737
288234.0,96.078
288264.0,96.088
288292.0,96.0973
288273.0,96.091
288321.0,96.107
288214.0,96.0713
288244.0,96.0813
288262.0,96.0873
288249.0,96.083
288217.0,96.0723
288303.0,96.101
288220.0,96.0733
288276.0,96.092
288210.0,96.07
288239.0,96.0797
288295.0,96.0983
288245.0,96.0817
288285.0,96.095
288300.0,96.1
288282.0,96.094
288238.0,96.0793
288268.0,96.0893
288172.0,96.0573
288218.0,96.0727
288193.0,96.0643
288241.0,96.0803
288330.0,96.11
288276.0,96.092
