Hits,Accuracy
391587.0,97.8968
391419.0,97.8548
391223.0,97.8058
391242.0,97.8105
391128.0,97.782
391333.0,97.8333
391157.0,97.7893
390924.0,97.731
391158.0,97.7895
391106.0,97.7765
391225.0,97.8062
391658.0,97.9145
391510.0,97.8775
391125.0,97.7812
391161.0,97.7902
391217.0,97.8043
391253.0,97.8132
391146.0,97.7865
391220.0,97.805
391418.0,97.8545
391554.0,97.8885
391339.0,97.8348
391408.0,97.852
391499.0,97.8748
391688.0,97.922
391318.0,97.8295
391522.0,97.8805
391225.0,97.8062
391395.0,97.8488
390993.0,97.7482
391106.0,97.7765
391083.0,97.7707
391521.0,97.8802
391443.0,97.8608
391523.0,97.8808
391366.0,97.8415
391216.0,97.804
391326.0,97.8315
391605.0,97.9012
391260.0,97.815
391640.0,97.91
391307.0,97.8267
391520.0,97.88
391136.0,97.784
391455.0,97.8638
391053.0,97.7632
391445.0,97.8612
391310.0,97.8275
391059.0,97.7648
391205.0,97.8012
391451.0,97.8628
391483.0,97.8708
391278.0,97.8195
391163.0,97.7908
391356.0,97.839
391058.0,97.7645
391545.0,97.8862
391484.0,97.871
390925.0,97.7312
391511.0,97.8777
391218.0,97.8045
391402.0,97.8505
391425.0,97.8562
391113.0,97.7782
391250.0,97.8125
391296.0,97.824
391168.0,97.792
391221.0,97.8052
391409.0,97.8522
391350.0,97.8375
391379.0,97.8448
391491.0,97.8728
391431.0,97.8578
391393.0,97.8483
391294.0,97.8235
391418.0,97.8545
391509.0,97.8772
391446.0,97.8615
391583.0,97.8958
391502.0,97.8755
391004.0,97.751
390950.0,97.7375
390967.0,97.7418
391288.0,97.822
391241.0,97.8102
391413.0,97.8532
391546.0,97.8865
391296.0,97.824
391378.0,97.8445
391106.0,97.7765
391239.0,97.8097
391337.0,97.8342
391109.0,97.7773
391338.0,97.8345
391416.0,97.854
391489.0,97.8723
391415.0,97.8537
391387.0,97.8468
391228.0,97.807
391227.0,97.8067
