Hits,Accuracy
391848.0,97.962
391915.0,97.9788
391820.0,97.955
391967.0,97.9918
391789.0,97.9472
391821.0,97.9553
391674.0,97.9185
391958.0,97.9895
391622.0,97.9055
391949.0,97.9872
391895.0,97.9738
391925.0,97.9812
392035.0,98.0088
391745.0,97.9362
391882.0,97.9705
392044.0,98.011
391756.0,97.939
391891.0,97.9727
391742.0,97.9355
391823.0,97.9558
391735.0,97.9338
391818.0,97.9545
391982.0,97.9955
391726.0,97.9315
391451.0,97.8628
391863.0,97.9658
391700.0,97.925
391618.0,97.9045
391687.0,97.9218
391630.0,97.9075
391562.0,97.8905
391942.0,97.9855
391635.0,97.9088
391465.0,97.8662
391534.0,97.8835
391910.0,97.9775
391940.0,97.985
392020.0,98.005
391928.0,97.982
391651.0,97.9128
391906.0,97.9765
391931.0,97.9828
391619.0,97.9047
391856.0,97.964
391928.0,97.982
391700.0,97.925
391429.0,97.8572
391864.0,97.966
392094.0,98.0235
391852.0,97.963
391778.0,97.9445
391866.0,97.9665
391792.0,97.948
391800.0,97.95
391770.0,97.9425
391736.0,97.934
391966.0,97.9915
391927.0,97.9818
392001.0,98.0002
391442.0,97.8605
392014.0,98.0035
391955.0,97.9888
391836.0,97.959
391684.0,97.921
391718.0,97.9295
391586.0,97.8965
391927.0,97.9818
391721.0,97.9302
391711.0,97.9278
391815.0,97.9538
392072.0,98.018
391809.0,97.9522
392084.0,98.021
391812.0,97.953
391855.0,97.9638
391776.0,97.944
391744.0,97.936
391759.0,97.9398
391660.0,97.915
391822.0,97.9555
391864.0,97.966
391442.0,97.8605
391779.0,97.9448
391933.0,97.9832
391821.0,97.9553
391497.0,97.8742
391969.0,97.9922
391803.0,97.9508
392032.0,98.008
391857.0,97.9642
391659.0,97.9148
391705.0,97.9263
391647.0,97.9118
391686.0,97.9215
391868.0,97.967
391874.0,97.9685
391779.0,97.9448
391952.0,97.988
391940.0,97.985
391974.0,97.9935
