Hits,Accuracy
390121.0,97.5302
390074.0,97.5185
389970.0,97.4925
390164.0,97.541
390148.0,97.537
390726.0,97.6815
391203.0,97.8008
390421.0,97.6052
390808.0,97.702
390490.0,97.6225
389932.0,97.483
391602.0,97.9005
391196.0,97.799
389618.0,97.4045
390428.0,97.607
390690.0,97.6725
390218.0,97.5545
389760.0,97.44
389805.0,97.4512
390873.0,97.7182
389821.0,97.4553
391324.0,97.831
389932.0,97.483
390109.0,97.5272
390484.0,97.621
391303.0,97.8258
389628.0,97.407
389925.0,97.4812
390841.0,97.7102
389624.0,97.406
389892.0,97.473
389213.0,97.3032
389866.0,97.4665
390122.0,97.5305
390644.0,97.661
389394.0,97.3485
390065.0,97.5162
391262.0,97.8155
389801.0,97.4503
388294.0,97.0735
391150.0,97.7875
389185.0,97.2962
390248.0,97.562
390614.0,97.6535
390554.0,97.6385
390633.0,97.6582
391158.0,97.7895
390461.0,97.6152
390064.0,97.516
390508.0,97.627
390694.0,97.6735
389214.0,97.3035
389939.0,97.4847
391019.0,97.7548
391563.0,97.8908
389643.0,97.4108
389983.0,97.4958
390219.0,97.5548
389885.0,97.4712
390707.0,97.6768
391033.0,97.7582
391897.0,97.9742
390689.0,97.6722
390327.0,97.5818
391258.0,97.8145
390079.0,97.5198
391219.0,97.8048
390923.0,97.7308
389685.0,97.4212
391040.0,97.76
390444.0,97.611
390458.0,97.6145
390059.0,97.5147
391273.0,97.8182
390945.0,97.7362
389996.0,97.499
390727.0,97.6817
389940.0,97.485
388789.0,97.1972
391254.0,97.8135
390204.0,97.551
390550.0,97.6375
390396.0,97.599
390020.0,97.505
390056.0,97.514
390373.0,97.5932
390654.0,97.6635
391037.0,97.7592
389965.0,97.4912
390475.0,97.6188
390082.0,97.5205
391150.0,97.7875
391388.0,97.847
391488.0,97.872
391065.0,97.7662
390870.0,97.7175
389319.0,97.3298
390509.0,97.6272
389703.0,97.4257
391059.0,97.7648
