Hits,Accuracy
386787.0,96.6968
386963.0,96.7407
386791.0,96.6978
387031.0,96.7578
386892.0,96.723
386962.0,96.7405
386806.0,96.7015
386736.0,96.684
386829.0,96.7072
386916.0,96.729
386890.0,96.7225
386882.0,96.7205
386919.0,96.7298
386821.0,96.7052
386767.0,96.6918
386935.0,96.7338
386790.0,96.6975
386949.0,96.7372
386792.0,96.698
386965.0,96.7413
386688.0,96.672
386767.0,96.6918
386901.0,96.7252
386640.0,96.66
386811.0,96.7028
386841.0,96.7102
386911.0,96.7278
386933.0,96.7332
387003.0,96.7508
386929.0,96.7322
386862.0,96.7155
386642.0,96.6605
386837.0,96.7092
386943.0,96.7358
386978.0,96.7445
387017.0,96.7542
386519.0,96.6298
386952.0,96.738
386752.0,96.688
386983.0,96.7458
386863.0,96.7158
386678.0,96.6695
386971.0,96.7428
386437.0,96.6092
386397.0,96.5992
386643.0,96.6607
386748.0,96.687
386937.0,96.7342
386900.0,96.725
386786.0,96.6965
386746.0,96.6865
386994.0,96.7485
386805.0,96.7012
387118.0,96.7795
386907.0,96.7268
386759.0,96.6898
386689.0,96.6722
386704.0,96.676
386724.0,96.681
386879.0,96.7198
386933.0,96.7332
386812.0,96.703
387019.0,96.7548
386769.0,96.6922
386674.0,96.6685
386794.0,96.6985
386610.0,96.6525
387025.0,96.7562
386559.0,96.6398
386765.0,96.6912
386809.0,96.7023
386756.0,96.689
386864.0,96.716
386800.0,96.7
386555.0,96.6388
386702.0,96.6755
386703.0,96.6758
386911.0,96.7278
386701.0,96.6752
386837.0,96.7092
386731.0,96.6828
386860.0,96.715
386906.0,96.7265
386815.0,96.7038
386721.0,96.6802
386781.0,96.6952
387076.0,96.769
386725.0,96.6812
386598.0,96.6495
386838.0,96.7095
386815.0,96.7038
386767.0,96.6918
386800.0,96.7
386726.0,96.6815
386784.0,96.696
386788.0,96.697
386969.0,96.7422
386818.0,96.7045
386820.0,96.705
386788.0,96.697
