Hits,Accuracy
287393.0,95.7977
287425.0,95.8083
287227.0,95.7423
287611.0,95.8703
287602.0,95.8673
287473.0,95.8243
287457.0,95.819
287577.0,95.859
287470.0,95.8233
287581.0,95.8603
287686.0,95.8953
287481.0,95.827
287296.0,95.7653
287569.0,95.8563
287315.0,95.7717
287595.0,95.865
287280.0,95.76
287364.0,95.788
287532.0,95.844
287826.0,95.942
287533.0,95.8443
287639.0,95.8797
287584.0,95.8613
287590.0,95.8633
287517.0,95.839
287650.0,95.8833
287397.0,95.799
287544.0,95.848
287685.0,95.895
287325.0,95.775
287672.0,95.8907
287558.0,95.8527
287173.0,95.7243
287546.0,95.8487
287314.0,95.7713
287329.0,95.7763
287666.0,95.8887
287284.0,95.7613
287350.0,95.7833
287163.0,95.721
287630.0,95.8767
287590.0,95.8633
287421.0,95.807
287315.0,95.7717
287579.0,95.8597
287307.0,95.769
287493.0,95.831
287263.0,95.7543
287412.0,95.804
287347.0,95.7823
287604.0,95.868
287414.0,95.8047
287571.0,95.857
287593.0,95.8643
287463.0,95.821
287445.0,95.815
287477.0,95.8257
287634.0,95.878
287141.0,95.7137
287473.0,95.8243
287411.0,95.8037
287211.0,95.737
287539.0,95.8463
287343.0,95.781
287244.0,95.748
287386.0,95.7953
287543.0,95.8477
287554.0,95.8513
287406.0,95.802
287429.0,95.8097
287178.0,95.726
287722.0,95.9073
287386.0,95.7953
287354.0,95.7847
287178.0,95.726
287619.0,95.873
287626.0,95.8753
287515.0,95.8383
287377.0,95.7923
287263.0,95.7543
287572.0,95.8573
287559.0,95.853
287398.0,95.7993
287421.0,95.807
287427.0,95.809
287455.0,95.8183
287176.0,95.7253
287359.0,95.7863
287744.0,95.9147
287481.0,95.827
287541.0,95.847
287718.0,95.906
287268.0,95.756
287362.0,95.7873
287414.0,95.8047
287535.0,95.845
287262.0,95.754
287712.0,95.904
287361.0,95.787
287665.0,95.8883
