Hits,Accuracy
287873.0,95.9577
287801.0,95.9337
287840.0,95.9467
287734.0,95.9113
287781.0,95.927
287642.0,95.8807
287899.0,95.9663
287808.0,95.936
287877.0,95.959
287622.0,95.874
287715.0,95.905
287721.0,95.907
287804.0,95.9347
287784.0,95.928
287670.0,95.89
287714.0,95.9047
287541.0,95.847
287695.0,95.8983
287707.0,95.9023
287832.0,95.944
287881.0,95.9603
287951.0,95.9837
287880.0,95.96
287719.0,95.9063
287817.0,95.939
287698.0,95.8993
287872.0,95.9573
287864.0,95.9547
287710.0,95.9033
287910.0,95.97
287751.0,95.917
287795.0,95.9317
287967.0,95.989
287796.0,95.932
287962.0,95.9873
287637.0,95.879
287655.0,95.885
287865.0,95.955
287912.0,95.9707
287860.0,95.9533
287747.0,95.9157
287816.0,95.9387
287809.0,95.9363
287892.0,95.964
287739.0,95.913
287749.0,95.9163
287803.0,95.9343
287928.0,95.976
287748.0,95.916
287663.0,95.8877
287855.0,95.9517
287684.0,95.8947
287966.0,95.9887
288048.0,96.016
287814.0,95.938
287736.0,95.912
287799.0,95.933
288045.0,96.015
287797.0,95.9323
287761.0,95.9203
287990.0,95.9967
287873.0,95.9577
288008.0,96.0027
287984.0,95.9947
287931.0,95.977
287789.0,95.9297
288088.0,96.0293
287830.0,95.9433
287715.0,95.905
287746.0,95.9153
287802.0,95.934
287632.0,95.8773
287758.0,95.9193
287803.0,95.9343
287914.0,95.9713
287796.0,95.932
287714.0,95.9047
287878.0,95.9593
287776.0,95.9253
287831.0,95.9437
287702.0,95.9007
287810.0,95.9367
287788.0,95.9293
287983.0,95.9943
288061.0,96.0203
287826.0,95.942
287883.0,95.961
287671.0,95.8903
287833.0,95.9443
287795.0,95.9317
287821.0,95.9403
287753.0,95.9177
287831.0,95.9437
287914.0,95.9713
287792.0,95.9307
287810.0,95.9367
287792.0,95.9307
287674.0,95.8913
287734.0,95.9113
287953.0,95.9843
