Hits,Accuracy
391727.0,97.9317
392120.0,98.03
392041.0,98.0102
391920.0,97.98
391913.0,97.9782
391703.0,97.9257
392101.0,98.0252
391853.0,97.9632
392013.0,98.0032
392217.0,98.0542
391918.0,97.9795
391758.0,97.9395
392223.0,98.0558
391956.0,97.989
392020.0,98.005
392046.0,98.0115
392119.0,98.0298
391578.0,97.8945
391937.0,97.9842
391713.0,97.9282
392026.0,98.0065
391931.0,97.9828
391918.0,97.9795
391917.0,97.9792
391965.0,97.9912
392070.0,98.0175
391943.0,97.9858
392058.0,98.0145
391942.0,97.9855
391761.0,97.9402
391842.0,97.9605
391804.0,97.951
391914.0,97.9785
391798.0,97.9495
391840.0,97.96
391830.0,97.9575
391957.0,97.9892
391715.0,97.9287
391946.0,97.9865
391673.0,97.9182
392090.0,98.0225
391986.0,97.9965
391869.0,97.9672
391234.0,97.8085
391959.0,97.9898
391995.0,97.9988
392147.0,98.0368
391638.0,97.9095
392016.0,98.004
392004.0,98.001
391640.0,97.91
392044.0,98.011
391858.0,97.9645
391757.0,97.9392
391787.0,97.9468
392052.0,98.013
392064.0,98.016
391508.0,97.877
391830.0,97.9575
391826.0,97.9565
391780.0,97.945
392091.0,98.0228
391778.0,97.9445
391916.0,97.979
391565.0,97.8912
391774.0,97.9435
391817.0,97.9542
392169.0,98.0422
391979.0,97.9948
392048.0,98.012
391997.0,97.9992
391816.0,97.954
391858.0,97.9645
391640.0,97.91
391793.0,97.9482
391881.0,97.9703
391939.0,97.9847
391899.0,97.9748
391835.0,97.9588
392014.0,98.0035
392009.0,98.0022
391706.0,97.9265
391776.0,97.944
392060.0,98.015
391702.0,97.9255
391881.0,97.9703
392115.0,98.0288
391911.0,97.9778
392000.0,98.0
392032.0,98.008
392047.0,98.0117
391711.0,97.9278
391969.0,97.9922
391934.0,97.9835
392107.0,98.0267
392089.0,98.0222
391805.0,97.9512
391935.0,97.9838
392019.0,98.0048
392136.0,98.034
