Hits,Accuracy
391162.0,97.7905
389904.0,97.476
391415.0,97.8537
390662.0,97.6655
389374.0,97.3435
390571.0,97.6428
391114.0,97.7785
388696.0,97.174
389147.0,97.2868
388935.0,97.2338
389481.0,97.3702
388388.0,97.097
389719.0,97.4298
389330.0,97.3325
390250.0,97.5625
389917.0,97.4792
390388.0,97.597
389779.0,97.4448
390099.0,97.5248
389805.0,97.4512
391003.0,97.7508
388383.0,97.0958
390716.0,97.679
390300.0,97.575
390024.0,97.506
389993.0,97.4982
390306.0,97.5765
390392.0,97.598
391064.0,97.766
389647.0,97.4118
389541.0,97.3852
390731.0,97.6828
389724.0,97.431
389131.0,97.2827
388575.0,97.1438
389563.0,97.3908
390125.0,97.5312
390226.0,97.5565
389813.0,97.4532
389092.0,97.273
391302.0,97.8255
390294.0,97.5735
389828.0,97.457
390775.0,97.6938
390662.0,97.6655
390251.0,97.5627
390241.0,97.5603
390256.0,97.564
390341.0,97.5852
390821.0,97.7052
388928.0,97.232
389298.0,97.3245
390558.0,97.6395
390588.0,97.647
389445.0,97.3612
389488.0,97.372
390516.0,97.629
389537.0,97.3843
389547.0,97.3868
391062.0,97.7655
389861.0,97.4652
390264.0,97.566
390557.0,97.6392
389490.0,97.3725
391339.0,97.8348
390377.0,97.5942
389196.0,97.299
390772.0,97.693
389787.0,97.4468
388282.0,97.0705
389665.0,97.4162
391360.0,97.84
390214.0,97.5535
389080.0,97.27
390343.0,97.5858
389901.0,97.4752
390136.0,97.534
389179.0,97.2947
389899.0,97.4748
391170.0,97.7925
389156.0,97.289
389592.0,97.398
389962.0,97.4905
389051.0,97.2628
389824.0,97.456
391327.0,97.8318
390019.0,97.5048
389921.0,97.4802
389055.0,97.2638
389179.0,97.2947
390729.0,97.6823
388891.0,97.2228
389538.0,97.3845
388074.0,97.0185
388325.0,97.0812
389863.0,97.4658
391421.0,97.8552
390861.0,97.7152
391205.0,97.8012
389755.0,97.4388
