Hits,Accuracy
399196.0,99.799
399220.0,99.805
399217.0,99.8043
399215.0,99.8038
399216.0,99.804
399215.0,99.8038
399212.0,99.803
399213.0,99.8032
399200.0,99.8
399215.0,99.8038
399213.0,99.8032
399216.0,99.804
399215.0,99.8038
399215.0,99.8038
399219.0,99.8048
399215.0,99.8038
399211.0,99.8027
399221.0,99.8052
399221.0,99.8052
399216.0,99.804
399192.0,99.798
399219.0,99.8048
399191.0,99.7977
399217.0,99.8043
399197.0,99.7992
399216.0,99.804
399210.0,99.8025
399214.0,99.8035
399213.0,99.8032
399206.0,99.8015
399217.0,99.8043
399215.0,99.8038
399204.0,99.801
399215.0,99.8038
399213.0,99.8032
399216.0,99.804
399217.0,99.8043
399221.0,99.8052
399222.0,99.8055
399212.0,99.803
399216.0,99.804
399218.0,99.8045
399220.0,99.805
399218.0,99.8045
399217.0,99.8043
399218.0,99.8045
399221.0,99.8052
399215.0,99.8038
399215.0,99.8038
399219.0,99.8048
399211.0,99.8027
399203.0,99.8008
399216.0,99.804
399222.0,99.8055
399214.0,99.8035
399219.0,99.8048
399218.0,99.8045
399222.0,99.8055
399216.0,99.804
399215.0,99.8038
399217.0,99.8043
399217.0,99.8043
399217.0,99.8043
399218.0,99.8045
399215.0,99.8038
399217.0,99.8043
399220.0,99.805
399217.0,99.8043
399217.0,99.8043
399216.0,99.804
399197.0,99.7992
399220.0,99.805
399217.0,99.8043
399219.0,99.8048
399213.0,99.8032
399217.0,99.8043
399214.0,99.8035
399218.0,99.8045
399192.0,99.798
399215.0,99.8038
399221.0,99.8052
399201.0,99.8002
399215.0,99.8038
399220.0,99.805
399203.0,99.8008
399210.0,99.8025
399215.0,99.8038
399217.0,99.8043
399218.0,99.8045
399205.0,99.8012
399222.0,99.8055
399216.0,99.804
399217.0,99.8043
399206.0,99.8015
399218.0,99.8045
399220.0,99.805
399219.0,99.8048
399214.0,99.8035
399219.0,99.8048
399215.0,99.8038
