Hits,Accuracy
391174.0,97.7935
390645.0,97.6612
390538.0,97.6345
391289.0,97.8222
391089.0,97.7722
391141.0,97.7852
390734.0,97.6835
390696.0,97.674
391103.0,97.7757
391317.0,97.8292
391163.0,97.7908
391064.0,97.766
390933.0,97.7332
390878.0,97.7195
391236.0,97.809
391290.0,97.8225
391055.0,97.7638
390824.0,97.706
390912.0,97.728
391073.0,97.7682
390979.0,97.7448
390702.0,97.6755
390922.0,97.7305
390937.0,97.7342
391110.0,97.7775
391026.0,97.7565
391395.0,97.8488
391086.0,97.7715
391014.0,97.7535
391180.0,97.795
391126.0,97.7815
391325.0,97.8312
391309.0,97.8272
390903.0,97.7258
390798.0,97.6995
391144.0,97.786
391029.0,97.7572
391275.0,97.8188
391173.0,97.7932
391231.0,97.8078
391197.0,97.7992
391103.0,97.7757
391088.0,97.772
390986.0,97.7465
391607.0,97.9017
390813.0,97.7032
391251.0,97.8128
391252.0,97.813
390707.0,97.6768
391173.0,97.7932
391642.0,97.9105
391096.0,97.774
391074.0,97.7685
390798.0,97.6995
391509.0,97.8772
390968.0,97.742
390950.0,97.7375
391195.0,97.7988
391251.0,97.8128
391299.0,97.8248
391251.0,97.8128
391258.0,97.8145
390931.0,97.7328
391439.0,97.8598
391169.0,97.7922
391327.0,97.8318
391070.0,97.7675
390884.0,97.721
391154.0,97.7885
391073.0,97.7682
391234.0,97.8085
391328.0,97.832
391412.0,97.853
390763.0,97.6908
391052.0,97.763
391341.0,97.8352
390925.0,97.7312
390703.0,97.6757
391258.0,97.8145
391013.0,97.7533
391107.0,97.7768
391123.0,97.7808
391222.0,97.8055
390827.0,97.7068
391035.0,97.7588
391218.0,97.8045
391135.0,97.7838
390937.0,97.7342
391259.0,97.8147
391203.0,97.8008
390914.0,97.7285
391188.0,97.797
390961.0,97.7402
390524.0,97.631
391061.0,97.7653
391109.0,97.7773
391010.0,97.7525
390999.0,97.7498
391284.0,97.821
390995.0,97.7488
