Hits,Accuracy
351112.0,87.778
350901.0,87.7252
351128.0,87.782
350915.0,87.7288
351070.0,87.7675
351028.0,87.757
351091.0,87.7728
350749.0,87.6873
350966.0,87.7415
350995.0,87.7488
350664.0,87.666
350894.0,87.7235
350662.0,87.6655
351004.0,87.751
350558.0,87.6395
350918.0,87.7295
351282.0,87.8205
350945.0,87.7362
350855.0,87.7138
350794.0,87.6985
350730.0,87.6825
350969.0,87.7422
350852.0,87.713
351016.0,87.754
350918.0,87.7295
350990.0,87.7475
350566.0,87.6415
350919.0,87.7298
350650.0,87.6625
350784.0,87.696
351065.0,87.7662
351203.0,87.8008
350749.0,87.6873
351034.0,87.7585
350790.0,87.6975
350617.0,87.6542
350833.0,87.7082
350673.0,87.6682
350879.0,87.7197
350830.0,87.7075
350688.0,87.672
351016.0,87.754
351125.0,87.7812
351045.0,87.7612
350962.0,87.7405
350750.0,87.6875
351061.0,87.7652
350915.0,87.7288
351012.0,87.753
350648.0,87.662
350977.0,87.7443
351011.0,87.7528
350678.0,87.6695
350737.0,87.6842
350886.0,87.7215
350868.0,87.717
350830.0,87.7075
350815.0,87.7038
351074.0,87.7685
350849.0,87.7122
351010.0,87.7525
350662.0,87.6655
351096.0,87.774
350890.0,87.7225
350956.0,87.739
350884.0,87.721
350700.0,87.675
350603.0,87.6508
351006.0,87.7515
350829.0,87.7072
350760.0,87.69
350885.0,87.7212
350909.0,87.7272
350649.0,87.6622
350729.0,87.6822
350932.0,87.733
351001.0,87.7502
351047.0,87.7618
350878.0,87.7195
351021.0,87.7552
351204.0,87.801
350920.0,87.73
351167.0,87.7918
350792.0,87.698
350926.0,87.7315
350908.0,87.727
350912.0,87.728
350900.0,87.725
350898.0,87.7245
350874.0,87.7185
350827.0,87.7068
351014.0,87.7535
350600.0,87.65
350784.0,87.696
350952.0,87.738
351083.0,87.7707
350912.0,87.728
350843.0,87.7108
350839.0,87.7098
351184.0,87.796
