Hits,Accuracy
385692.0,96.423
385889.0,96.4722
385846.0,96.4615
385767.0,96.4418
385922.0,96.4805
385926.0,96.4815
386327.0,96.5818
385611.0,96.4028
385782.0,96.4455
385866.0,96.4665
385722.0,96.4305
385971.0,96.4928
386202.0,96.5505
385989.0,96.4973
385655.0,96.4137
385858.0,96.4645
386334.0,96.5835
386163.0,96.5408
385722.0,96.4305
386231.0,96.5578
386337.0,96.5843
385844.0,96.461
386044.0,96.511
385868.0,96.467
386199.0,96.5498
386055.0,96.5138
385805.0,96.4512
385831.0,96.4578
386035.0,96.5087
386073.0,96.5183
385950.0,96.4875
385856.0,96.464
386055.0,96.5138
385843.0,96.4607
385651.0,96.4128
385543.0,96.3858
386143.0,96.5357
385959.0,96.4898
386178.0,96.5445
385742.0,96.4355
386045.0,96.5112
386002.0,96.5005
385868.0,96.467
386043.0,96.5108
385941.0,96.4852
385908.0,96.477
386203.0,96.5507
385873.0,96.4682
385748.0,96.437
386130.0,96.5325
386233.0,96.5582
386098.0,96.5245
386066.0,96.5165
386051.0,96.5128
385704.0,96.426
385518.0,96.3795
385658.0,96.4145
386124.0,96.531
386146.0,96.5365
385987.0,96.4967
386039.0,96.5098
386081.0,96.5202
385671.0,96.4178
385689.0,96.4222
386187.0,96.5468
386167.0,96.5418
386182.0,96.5455
386040.0,96.51
385975.0,96.4938
386152.0,96.538
385855.0,96.4638
385825.0,96.4562
386103.0,96.5258
385590.0,96.3975
385493.0,96.3732
385888.0,96.472
386338.0,96.5845
385836.0,96.459
386132.0,96.533
386126.0,96.5315
385281.0,96.3202
386126.0,96.5315
385741.0,96.4352
385975.0,96.4938
385841.0,96.4602
385487.0,96.3718
385877.0,96.4692
385909.0,96.4772
386051.0,96.5128
385597.0,96.3993
385844.0,96.461
385982.0,96.4955
385970.0,96.4925
386205.0,96.5512
385592.0,96.398
385784.0,96.446
386187.0,96.5468
385375.0,96.3438
385542.0,96.3855
386285.0,96.5712
