Hits,Accuracy
387327.0,96.8318
387324.0,96.831
387288.0,96.822
387302.0,96.8255
387310.0,96.8275
387313.0,96.8283
387279.0,96.8198
387364.0,96.841
387338.0,96.8345
387308.0,96.827
387344.0,96.836
387321.0,96.8302
387273.0,96.8182
387209.0,96.8022
387319.0,96.8298
387168.0,96.792
387303.0,96.8258
387322.0,96.8305
387221.0,96.8052
387384.0,96.846
387254.0,96.8135
387349.0,96.8372
387139.0,96.7848
387278.0,96.8195
387305.0,96.8262
387332.0,96.833
387305.0,96.8262
387323.0,96.8308
387302.0,96.8255
387318.0,96.8295
387345.0,96.8363
387290.0,96.8225
387336.0,96.834
387313.0,96.8283
387241.0,96.8102
387308.0,96.827
387331.0,96.8328
387333.0,96.8333
387184.0,96.796
387371.0,96.8428
387316.0,96.829
387369.0,96.8422
387187.0,96.7968
387339.0,96.8348
387184.0,96.796
387368.0,96.842
387274.0,96.8185
387254.0,96.8135
387388.0,96.847
387251.0,96.8128
387248.0,96.812
387356.0,96.839
387252.0,96.813
387356.0,96.839
387179.0,96.7947
387355.0,96.8387
387257.0,96.8142
387347.0,96.8368
387300.0,96.825
387333.0,96.8333
387299.0,96.8248
387063.0,96.7658
387251.0,96.8128
387341.0,96.8352
387285.0,96.8213
387351.0,96.8378
387175.0,96.7938
387234.0,96.8085
387257.0,96.8142
387335.0,96.8338
387133.0,96.7832
387375.0,96.8438
387326.0,96.8315
387246.0,96.8115
387330.0,96.8325
387330.0,96.8325
387259.0,96.8148
387292.0,96.823
387255.0,96.8138
387306.0,96.8265
387303.0,96.8258
387384.0,96.846
387361.0,96.8403
387279.0,96.8198
387336.0,96.834
387339.0,96.8348
387264.0,96.816
387304.0,96.826
387184.0,96.796
387312.0,96.828
387260.0,96.815
387241.0,96.8102
387215.0,96.8037
387320.0,96.83
387156.0,96.789
387216.0,96.804
387196.0,96.799
387304.0,96.826
387249.0,96.8123
387279.0,96.8198
