Hits,Accuracy
399918.0,99.9795
399914.0,99.9785
399915.0,99.9788
399916.0,99.979
399915.0,99.9788
399912.0,99.978
399924.0,99.981
399910.0,99.9775
399917.0,99.9792
399899.0,99.9748
399905.0,99.9762
399908.0,99.977
399910.0,99.9775
399920.0,99.98
399905.0,99.9762
399919.0,99.9798
399917.0,99.9792
399905.0,99.9762
399918.0,99.9795
399903.0,99.9757
399908.0,99.977
399915.0,99.9788
399916.0,99.979
399915.0,99.9788
399911.0,99.9778
399905.0,99.9762
399915.0,99.9788
399910.0,99.9775
399916.0,99.979
399902.0,99.9755
399915.0,99.9788
399914.0,99.9785
399917.0,99.9792
399912.0,99.978
399917.0,99.9792
399918.0,99.9795
399914.0,99.9785
399909.0,99.9772
399914.0,99.9785
399917.0,99.9792
399911.0,99.9778
399915.0,99.9788
399908.0,99.977
399916.0,99.979
399916.0,99.979
399918.0,99.9795
399907.0,99.9768
399905.0,99.9762
399915.0,99.9788
399906.0,99.9765
399909.0,99.9772
399911.0,99.9778
399919.0,99.9798
399916.0,99.979
399900.0,99.975
399913.0,99.9782
399904.0,99.976
399909.0,99.9772
399913.0,99.9782
399917.0,99.9792
399919.0,99.9798
399918.0,99.9795
399915.0,99.9788
399904.0,99.976
399902.0,99.9755
399899.0,99.9748
399914.0,99.9785
399915.0,99.9788
399917.0,99.9792
399916.0,99.979
399910.0,99.9775
399904.0,99.976
399912.0,99.978
399914.0,99.9785
399916.0,99.979
399916.0,99.979
399914.0,99.9785
399908.0,99.977
399908.0,99.977
399918.0,99.9795
399917.0,99.9792
399913.0,99.9782
399912.0,99.978
399917.0,99.9792
399918.0,99.9795
399917.0,99.9792
399911.0,99.9778
399918.0,99.9795
399899.0,99.9748
399905.0,99.9762
399905.0,99.9762
399921.0,99.9802
399911.0,99.9778
399911.0,99.9778
399908.0,99.977
399913.0,99.9782
399911.0,99.9778
399915.0,99.9788
399915.0,99.9788
399918.0,99.9795
