Hits,Accuracy
287136.0,95.712
287227.0,95.7423
287248.0,95.7493
287630.0,95.8767
287484.0,95.828
287457.0,95.819
287353.0,95.7843
287533.0,95.8443
287288.0,95.7627
287516.0,95.8387
287505.0,95.835
287159.0,95.7197
287375.0,95.7917
287041.0,95.6803
287317.0,95.7723
287433.0,95.811
287487.0,95.829
287268.0,95.756
287359.0,95.7863
287441.0,95.8137
287554.0,95.8513
287335.0,95.7783
287383.0,95.7943
287457.0,95.819
287053.0,95.6843
287514.0,95.838
287219.0,95.7397
287295.0,95.765
287499.0,95.833
287414.0,95.8047
287456.0,95.8187
287438.0,95.8127
287392.0,95.7973
287626.0,95.8753
287283.0,95.761
287228.0,95.7427
287501.0,95.8337
287383.0,95.7943
287617.0,95.8723
287578.0,95.8593
287143.0,95.7143
287339.0,95.7797
287162.0,95.7207
287257.0,95.7523
287516.0,95.8387
287415.0,95.805
287101.0,95.7003
287381.0,95.7937
287102.0,95.7007
287394.0,95.798
287626.0,95.8753
287533.0,95.8443
287192.0,95.7307
287495.0,95.8317
287453.0,95.8177
287224.0,95.7413
287206.0,95.7353
287319.0,95.773
287243.0,95.7477
287382.0,95.794
287416.0,95.8053
287249.0,95.7497
287142.0,95.714
287351.0,95.7837
287414.0,95.8047
287614.0,95.8713
287314.0,95.7713
287353.0,95.7843
287400.0,95.8
287300.0,95.7667
287462.0,95.8207
287500.0,95.8333
287092.0,95.6973
287659.0,95.8863
287332.0,95.7773
287427.0,95.809
286900.0,95.6333
287048.0,95.6827
287616.0,95.872
287505.0,95.835
287263.0,95.7543
287494.0,95.8313
287414.0,95.8047
287539.0,95.8463
287444.0,95.8147
287293.0,95.7643
287567.0,95.8557
287232.0,95.744
287530.0,95.8433
287172.0,95.724
287422.0,95.8073
287284.0,95.7613
287220.0,95.74
287219.0,95.7397
287624.0,95.8747
287213.0,95.7377
287571.0,95.857
287335.0,95.7783
287242.0,95.7473
287410.0,95.8033
