Hits,Accuracy
391284.0,97.821
391542.0,97.8855
391836.0,97.959
391706.0,97.9265
391741.0,97.9352
391620.0,97.905
391367.0,97.8418
391552.0,97.888
391649.0,97.9122
391748.0,97.937
391793.0,97.9482
391732.0,97.933
391623.0,97.9058
391527.0,97.8818
391726.0,97.9315
391425.0,97.8562
391480.0,97.87
391872.0,97.968
391862.0,97.9655
391496.0,97.874
391623.0,97.9058
391684.0,97.921
391272.0,97.818
391387.0,97.8468
391534.0,97.8835
391945.0,97.9862
391698.0,97.9245
391496.0,97.874
391750.0,97.9375
391850.0,97.9625
391737.0,97.9342
391618.0,97.9045
391448.0,97.862
391432.0,97.858
391767.0,97.9418
391700.0,97.925
391308.0,97.827
391316.0,97.829
391456.0,97.864
391586.0,97.8965
391129.0,97.7822
391715.0,97.9287
391305.0,97.8262
391279.0,97.8198
391690.0,97.9225
391639.0,97.9098
391599.0,97.8998
391714.0,97.9285
391746.0,97.9365
391903.0,97.9757
391772.0,97.943
391336.0,97.834
391624.0,97.906
391593.0,97.8982
391383.0,97.8458
391850.0,97.9625
391830.0,97.9575
391531.0,97.8828
391532.0,97.883
391667.0,97.9167
391755.0,97.9388
391554.0,97.8885
391414.0,97.8535
391547.0,97.8868
391450.0,97.8625
391445.0,97.8612
391417.0,97.8542
391774.0,97.9435
391849.0,97.9622
391795.0,97.9487
391775.0,97.9438
391777.0,97.9442
391774.0,97.9435
391749.0,97.9372
391630.0,97.9075
391580.0,97.895
391684.0,97.921
391697.0,97.9242
391482.0,97.8705
391552.0,97.888
391643.0,97.9108
391545.0,97.8862
391499.0,97.8748
391686.0,97.9215
391717.0,97.9292
391716.0,97.929
391815.0,97.9538
391628.0,97.907
391458.0,97.8645
391775.0,97.9438
391453.0,97.8633
391394.0,97.8485
391630.0,97.9075
391736.0,97.934
391859.0,97.9648
391835.0,97.9588
391647.0,97.9118
391423.0,97.8558
391749.0,97.9372
391610.0,97.9025
