Hits,Accuracy
391012.0,97.753
390770.0,97.6925
390515.0,97.6288
390627.0,97.6568
390715.0,97.6788
391050.0,97.7625
391087.0,97.7718
391267.0,97.8168
390689.0,97.6722
390386.0,97.5965
390398.0,97.5995
391067.0,97.7668
391156.0,97.789
390458.0,97.6145
390231.0,97.5578
390451.0,97.6128
390298.0,97.5745
391059.0,97.7648
391080.0,97.77
390812.0,97.703
390679.0,97.6697
390988.0,97.747
390853.0,97.7132
391084.0,97.771
390679.0,97.6697
390634.0,97.6585
390469.0,97.6172
390557.0,97.6392
390788.0,97.697
390571.0,97.6428
390750.0,97.6875
390921.0,97.7302
390253.0,97.5632
390295.0,97.5738
390851.0,97.7128
390881.0,97.7202
390725.0,97.6812
390521.0,97.6302
390794.0,97.6985
390257.0,97.5642
390477.0,97.6193
390641.0,97.6602
390739.0,97.6847
391128.0,97.782
390656.0,97.664
390848.0,97.712
390791.0,97.6978
390852.0,97.713
390931.0,97.7328
390436.0,97.609
390847.0,97.7118
390510.0,97.6275
391022.0,97.7555
390559.0,97.6398
390778.0,97.6945
390855.0,97.7138
390704.0,97.676
390982.0,97.7455
390746.0,97.6865
390768.0,97.692
390844.0,97.711
390468.0,97.617
390727.0,97.6817
390572.0,97.643
390937.0,97.7342
390655.0,97.6638
390354.0,97.5885
390413.0,97.6032
390745.0,97.6862
390807.0,97.7018
390813.0,97.7032
390911.0,97.7278
390774.0,97.6935
390580.0,97.645
390437.0,97.6092
390695.0,97.6738
390889.0,97.7222
390542.0,97.6355
390761.0,97.6903
390363.0,97.5908
391251.0,97.8128
390343.0,97.5858
390608.0,97.652
390974.0,97.7435
390242.0,97.5605
390617.0,97.6542
390961.0,97.7402
390852.0,97.713
390630.0,97.6575
391116.0,97.779
390724.0,97.681
390129.0,97.5322
390955.0,97.7388
391007.0,97.7518
390639.0,97.6598
390850.0,97.7125
390539.0,97.6348
390758.0,97.6895
390961.0,97.7402
390769.0,97.6922
