Hits,Accuracy
391351.0,97.8378
391044.0,97.761
391161.0,97.7902
391104.0,97.776
391304.0,97.826
390722.0,97.6805
391152.0,97.788
391278.0,97.8195
391274.0,97.8185
391242.0,97.8105
390885.0,97.7212
391359.0,97.8398
391005.0,97.7512
391402.0,97.8505
390915.0,97.7287
391205.0,97.8012
391323.0,97.8308
391330.0,97.8325
391599.0,97.8998
390841.0,97.7102
391306.0,97.8265
390935.0,97.7338
391463.0,97.8657
391278.0,97.8195
391314.0,97.8285
391226.0,97.8065
390945.0,97.7362
391585.0,97.8962
390982.0,97.7455
391351.0,97.8378
391581.0,97.8952
391460.0,97.865
391571.0,97.8927
391428.0,97.857
391018.0,97.7545
391552.0,97.888
391173.0,97.7932
391236.0,97.809
391320.0,97.83
391134.0,97.7835
391229.0,97.8072
391367.0,97.8418
390788.0,97.697
391618.0,97.9045
391127.0,97.7818
391133.0,97.7832
391146.0,97.7865
391368.0,97.842
391130.0,97.7825
391262.0,97.8155
391447.0,97.8618
391044.0,97.761
391483.0,97.8708
391555.0,97.8888
391582.0,97.8955
391122.0,97.7805
390906.0,97.7265
391336.0,97.834
391237.0,97.8092
391431.0,97.8578
391461.0,97.8652
391206.0,97.8015
391109.0,97.7773
390792.0,97.698
390864.0,97.716
390953.0,97.7383
391065.0,97.7662
391074.0,97.7685
391105.0,97.7762
391246.0,97.8115
391194.0,97.7985
391215.0,97.8037
391455.0,97.8638
391602.0,97.9005
391207.0,97.8018
391025.0,97.7562
391860.0,97.965
391202.0,97.8005
391578.0,97.8945
391372.0,97.843
391079.0,97.7698
391476.0,97.869
390911.0,97.7278
391162.0,97.7905
391268.0,97.817
391492.0,97.873
391695.0,97.9238
391320.0,97.83
391069.0,97.7672
391426.0,97.8565
391552.0,97.888
391667.0,97.9167
391299.0,97.8248
390925.0,97.7312
391315.0,97.8288
391412.0,97.853
390734.0,97.6835
391428.0,97.857
391372.0,97.843
391351.0,97.8378
