Hits,Accuracy
390675.0,97.6688
390790.0,97.6975
390309.0,97.5773
390651.0,97.6628
390939.0,97.7348
390800.0,97.7
390631.0,97.6577
390629.0,97.6572
390715.0,97.6788
390920.0,97.73
391178.0,97.7945
390846.0,97.7115
390777.0,97.6943
390683.0,97.6708
390401.0,97.6002
390290.0,97.5725
390375.0,97.5938
390819.0,97.7047
390764.0,97.691
390202.0,97.5505
390379.0,97.5947
390470.0,97.6175
390628.0,97.657
390143.0,97.5357
390583.0,97.6457
390858.0,97.7145
390598.0,97.6495
390131.0,97.5328
390556.0,97.639
390502.0,97.6255
390656.0,97.664
390286.0,97.5715
390397.0,97.5992
390913.0,97.7282
390443.0,97.6108
389795.0,97.4487
390430.0,97.6075
390272.0,97.568
390250.0,97.5625
390464.0,97.616
390327.0,97.5818
390467.0,97.6168
390225.0,97.5562
390648.0,97.662
390299.0,97.5748
390878.0,97.7195
390696.0,97.674
390742.0,97.6855
390274.0,97.5685
390197.0,97.5492
390396.0,97.599
390968.0,97.742
390575.0,97.6438
390506.0,97.6265
390704.0,97.676
390525.0,97.6313
390551.0,97.6378
390515.0,97.6288
390716.0,97.679
390640.0,97.66
390711.0,97.6778
390523.0,97.6308
390470.0,97.6175
390606.0,97.6515
390609.0,97.6522
390628.0,97.657
390689.0,97.6722
390356.0,97.589
390226.0,97.5565
390616.0,97.654
390444.0,97.611
390386.0,97.5965
390620.0,97.655
390432.0,97.608
390462.0,97.6155
390712.0,97.678
390728.0,97.682
390437.0,97.6092
391039.0,97.7598
390767.0,97.6918
390150.0,97.5375
390600.0,97.65
390169.0,97.5422
391254.0,97.8135
390292.0,97.573
390596.0,97.649
390717.0,97.6792
390244.0,97.561
390246.0,97.5615
390397.0,97.5992
390080.0,97.52
390879.0,97.7198
390382.0,97.5955
390384.0,97.596
390491.0,97.6228
390726.0,97.6815
390434.0,97.6085
390767.0,97.6918
390817.0,97.7042
390524.0,97.631
