Hits,Accuracy
287258.0,95.7527
287842.0,95.9473
287937.0,95.979
287357.0,95.7857
286955.0,95.6517
287489.0,95.8297
287445.0,95.815
287348.0,95.7827
286992.0,95.664
287188.0,95.7293
287550.0,95.85
287486.0,95.8287
287360.0,95.7867
287415.0,95.805
286703.0,95.5677
287229.0,95.743
287208.0,95.736
287332.0,95.7773
287278.0,95.7593
286751.0,95.5837
287532.0,95.844
286781.0,95.5937
287631.0,95.877
286985.0,95.6617
287184.0,95.728
287348.0,95.7827
287287.0,95.7623
287502.0,95.834
287582.0,95.8607
287956.0,95.9853
287135.0,95.7117
288014.0,96.0047
287220.0,95.74
287385.0,95.795
287076.0,95.692
287233.0,95.7443
287628.0,95.876
287110.0,95.7033
287087.0,95.6957
287534.0,95.8447
287944.0,95.9813
287173.0,95.7243
287151.0,95.717
287327.0,95.7757
287134.0,95.7113
286933.0,95.6443
286833.0,95.611
286996.0,95.6653
287192.0,95.7307
286742.0,95.5807
287949.0,95.983
287229.0,95.743
286956.0,95.652
287225.0,95.7417
287434.0,95.8113
287137.0,95.7123
287631.0,95.877
287546.0,95.8487
287425.0,95.8083
287349.0,95.783
287420.0,95.8067
287781.0,95.927
287548.0,95.8493
287217.0,95.739
287248.0,95.7493
286575.0,95.525
286802.0,95.6007
287333.0,95.7777
287798.0,95.9327
287757.0,95.919
287277.0,95.759
286979.0,95.6597
287551.0,95.8503
287664.0,95.888
287414.0,95.8047
286964.0,95.6547
287450.0,95.8167
287829.0,95.943
287827.0,95.9423
287841.0,95.947
287647.0,95.8823
286855.0,95.6183
286926.0,95.642
287188.0,95.7293
287550.0,95.85
287275.0,95.7583
287595.0,95.865
287644.0,95.8813
286997.0,95.6657
287275.0,95.7583
287324.0,95.7747
287366.0,95.7887
287736.0,95.912
287550.0,95.85
287481.0,95.827
287544.0,95.848
287488.0,95.8293
287754.0,95.918
287044.0,95.6813
286664.0,95.5547
