Hits,Accuracy
392028.0,98.007
392231.0,98.0578
392068.0,98.017
392010.0,98.0025
392267.0,98.0668
392212.0,98.053
392141.0,98.0352
392022.0,98.0055
392155.0,98.0387
392132.0,98.033
392054.0,98.0135
392068.0,98.017
392130.0,98.0325
392070.0,98.0175
392059.0,98.0147
392109.0,98.0272
392127.0,98.0317
392010.0,98.0025
391984.0,97.996
392161.0,98.0402
391887.0,97.9718
392092.0,98.023
392135.0,98.0338
391918.0,97.9795
392079.0,98.0198
392273.0,98.0683
392133.0,98.0333
392104.0,98.026
392058.0,98.0145
392069.0,98.0172
392153.0,98.0382
392089.0,98.0222
391983.0,97.9958
392058.0,98.0145
392077.0,98.0192
392051.0,98.0128
392090.0,98.0225
392191.0,98.0477
392173.0,98.0432
392104.0,98.026
391960.0,97.99
392070.0,98.0175
392028.0,98.007
392263.0,98.0658
392027.0,98.0068
392017.0,98.0042
391929.0,97.9823
391954.0,97.9885
392091.0,98.0228
392159.0,98.0398
392103.0,98.0258
392024.0,98.006
392008.0,98.002
392078.0,98.0195
391971.0,97.9928
392063.0,98.0158
392071.0,98.0178
392131.0,98.0328
392278.0,98.0695
391893.0,97.9733
392142.0,98.0355
392123.0,98.0308
392075.0,98.0188
392188.0,98.047
392128.0,98.032
392199.0,98.0498
392095.0,98.0237
391928.0,97.982
391970.0,97.9925
392121.0,98.0302
392150.0,98.0375
392202.0,98.0505
392174.0,98.0435
392123.0,98.0308
392198.0,98.0495
392183.0,98.0458
392070.0,98.0175
392164.0,98.041
392151.0,98.0378
392032.0,98.008
392108.0,98.027
392008.0,98.002
391947.0,97.9868
392236.0,98.059
391936.0,97.984
392181.0,98.0452
392023.0,98.0058
392097.0,98.0242
391980.0,97.995
392164.0,98.041
392257.0,98.0642
392045.0,98.0112
392190.0,98.0475
392187.0,98.0468
392091.0,98.0228
391976.0,97.994
392241.0,98.0603
392248.0,98.062
392028.0,98.007
392248.0,98.062
