Hits,Accuracy
390225.0,97.5562
390343.0,97.5858
389905.0,97.4762
390206.0,97.5515
390542.0,97.6355
390041.0,97.5102
389963.0,97.4908
390156.0,97.539
390227.0,97.5568
390033.0,97.5082
389510.0,97.3775
390328.0,97.582
390178.0,97.5445
389358.0,97.3395
389538.0,97.3845
390337.0,97.5842
390282.0,97.5705
389954.0,97.4885
389873.0,97.4682
390008.0,97.502
390054.0,97.5135
389875.0,97.4688
390320.0,97.58
389980.0,97.495
389899.0,97.4748
390007.0,97.5018
389721.0,97.4302
390089.0,97.5222
390107.0,97.5267
390250.0,97.5625
390110.0,97.5275
390095.0,97.5237
389911.0,97.4778
389697.0,97.4242
390138.0,97.5345
389782.0,97.4455
389934.0,97.4835
390058.0,97.5145
389818.0,97.4545
389881.0,97.4703
390242.0,97.5605
389891.0,97.4727
389823.0,97.4558
389490.0,97.3725
390258.0,97.5645
389876.0,97.469
390063.0,97.5158
390209.0,97.5522
389831.0,97.4578
389931.0,97.4828
390225.0,97.5562
389821.0,97.4553
390063.0,97.5158
390236.0,97.559
390251.0,97.5627
390008.0,97.502
390268.0,97.567
390211.0,97.5528
389955.0,97.4888
389887.0,97.4718
389841.0,97.4602
389786.0,97.4465
390028.0,97.507
389986.0,97.4965
389879.0,97.4698
390077.0,97.5192
389621.0,97.4052
389613.0,97.4032
389561.0,97.3902
389913.0,97.4782
390088.0,97.522
389594.0,97.3985
389877.0,97.4692
390256.0,97.564
390576.0,97.644
390077.0,97.5192
390053.0,97.5132
390210.0,97.5525
389966.0,97.4915
389852.0,97.463
389458.0,97.3645
389945.0,97.4862
390352.0,97.588
389988.0,97.497
390209.0,97.5522
390136.0,97.534
389976.0,97.494
389256.0,97.314
390082.0,97.5205
390304.0,97.576
389905.0,97.4762
390217.0,97.5542
390388.0,97.597
389733.0,97.4332
389776.0,97.444
389364.0,97.341
390263.0,97.5658
389639.0,97.4097
389838.0,97.4595
389453.0,97.3633
